region,promedio_renovables
Africa,7.44071442105263
Asia Pacific,6.75976637192982
Central America,22.5849048245614
CIS,5.25681439122807
Eastern Africa,28.6334221578947
Europe,9.05690759298245
European Union,8.00005359824561
Middle Africa,30.2284783859649
Middle East,1.22883773
Non-OECD,7.57626111929825
North America,7.95625002105263
OECD,8.23683703508772
South and Central America,25.149845
Western Africa,11.7826677561404
